tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-03-11,56.0,25.0,18.0,63.0,10.0,63.0,O3,SEDANG,DKI5
2018-03-12,39.0,24.0,20.0,46.0,9.0,46.0,O3,BAIK,DKI5
2018-03-13,49.0,28.0,20.0,61.0,8.0,61.0,O3,SEDANG,DKI3
2018-03-14,62.0,31.0,20.0,89.0,11.0,89.0,O3,SEDANG,DKI3
2018-03-15,68.0,37.0,24.0,136.0,30.0,136.0,O3,TIDAK SEHAT,DKI2
2018-03-16,75.0,30.0,20.0,191.0,15.0,191.0,O3,TIDAK SEHAT,DKI5
2018-03-17,71.0,32.0,24.0,155.0,20.0,155.0,O3,TIDAK SEHAT,DKI5
2018-03-18,72.0,31.0,54.0,195.0,14.0,195.0,O3,TIDAK SEHAT,DKI5
2018-03-19,50.0,27.0,21.0,156.0,15.0,156.0,O3,TIDAK SEHAT,DKI5
2018-03-20,51.0,29.0,23.0,202.0,22.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-03-21,62.0,25.0,31.0,87.0,14.0,87.0,O3,SEDANG,DKI2
2018-03-22,30.0,25.0,18.0,51.0,9.0,51.0,O3,SEDANG,DKI3
2018-03-23,75.0,44.0,49.0,94.0,21.0,94.0,O3,SEDANG,DKI5
2018-03-24,66.0,30.0,23.0,55.0,17.0,66.0,PM10,SEDANG,DKI1
2018-03-25,36.0,24.0,16.0,64.0,19.0,64.0,O3,SEDANG,DKI2
2018-03-26,51.0,27.0,24.0,90.0,19.0,90.0,O3,SEDANG,DKI2
2018-03-27,41.0,24.0,20.0,94.0,7.0,94.0,O3,SEDANG,DKI2
2018-03-28,75.0,31.0,42.0,195.0,26.0,195.0,O3,TIDAK SEHAT,DKI2
2018-03-29,71.0,34.0,26.0,129.0,19.0,129.0,O3,TIDAK SEHAT,DKI2
2018-03-30,56.0,30.0,34.0,105.0,30.0,105.0,O3,TIDAK SEHAT,DKI2
2018-03-31,39.0,48.0,15.0,67.0,8.0,67.0,O3,SEDANG,DKI5
2018-04-01,45.0,25.0,17.0,57.0,13.0,57.0,O3,SEDANG,DKI5
2018-04-02,46.0,27.0,18.0,57.0,19.0,57.0,O3,SEDANG,DKI5
2018-04-03,50.0,26.0,27.0,80.0,26.0,80.0,O3,SEDANG,DKI5
2018-04-04,45.0,28.0,20.0,96.0,28.0,96.0,O3,SEDANG,DKI5
2018-04-05,81.0,37.0,29.0,202.0,18.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-04-06,56.0,29.0,21.0,144.0,12.0,144.0,O3,TIDAK SEHAT,DKI5
2018-04-07,68.0,31.0,29.0,74.0,12.0,74.0,O3,SEDANG,DKI3
2018-04-08,45.0,28.0,16.0,51.0,12.0,51.0,O3,SEDANG,DKI3
2018-04-09,53.0,33.0,20.0,85.0,11.0,85.0,O3,SEDANG,DKI3
2018-04-10,52.0,36.0,19.0,66.0,15.0,66.0,O3,SEDANG,DKI3
2018-04-11,71.0,33.0,23.0,92.0,13.0,92.0,O3,SEDANG,DKI3
2018-04-12,69.0,58.0,16.0,57.0,14.0,69.0,PM10,SEDANG,DKI2
2018-04-13,54.0,56.0,16.0,121.0,11.0,121.0,O3,TIDAK SEHAT,DKI5
2018-04-14,51.0,22.0,21.0,141.0,12.0,141.0,O3,TIDAK SEHAT,DKI5
2018-04-15,59.0,27.0,23.0,168.0,13.0,168.0,O3,TIDAK SEHAT,DKI5
2018-04-16,65.0,33.0,27.0,185.0,18.0,185.0,O3,TIDAK SEHAT,DKI5
2018-04-17,63.0,26.0,24.0,142.0,16.0,142.0,O3,TIDAK SEHAT,DKI5
2018-04-18,81.0,29.0,26.0,80.0,23.0,81.0,PM10,SEDANG,DKI4
2018-04-19,86.0,27.0,33.0,133.0,22.0,133.0,O3,TIDAK SEHAT,DKI5
2018-04-20,76.0,24.0,30.0,92.0,18.0,92.0,O3,SEDANG,DKI5
2018-04-21,73.0,26.0,43.0,162.0,25.0,162.0,O3,TIDAK SEHAT,DKI5
2018-04-22,70.0,26.0,29.0,117.0,18.0,117.0,O3,TIDAK SEHAT,DKI5
